company_id,year,period_id,revenue,net_income,eps,dividend,market_cap
1,2024,8,69632000000.0,24108000000.0,,3.32,2913004945408
1,2024,6,64727000000.0,22036000000.0,,3.32,2913004945408
1,2023,1,,,,3.32,2913004945408
1,2023,2,,,,3.32,2913004945408
1,2024,5,61858000000.0,21939000000.0,,3.32,2913004945408
1,2024,7,65585000000.0,24667000000.0,,3.32,2913004945408
1,2023,4,62020000000.0,21870000000.0,,3.32,2913004945408
2,2024,8,124300000000.0,36330000000.0,,1.0,3143825096704
2,2024,6,85777000000.0,21448000000.0,,1.0,3143825096704
2,2023,1,,,,1.0,3143825096704
2,2023,3,,,,1.0,3143825096704
2,2024,5,90753000000.0,23636000000.0,,1.0,3143825096704
2,2023,2,,,,1.0,3143825096704
2,2024,7,94930000000.0,14736000000.0,,1.0,3143825096704
2,2023,4,119575000000.0,33916000000.0,,1.0,3143825096704
3,2024,8,14054000000.0,4324000000.0,,2.36,904231976960
3,2024,6,12487000000.0,2121000000.0,,2.36,904231976960
3,2023,1,,,,2.36,904231976960
3,2023,3,,,,2.36,904231976960
3,2024,5,11961000000.0,1325000000.0,,2.36,904231976960
3,2023,2,,,,2.36,904231976960
3,2024,7,13072000000.0,-1875000000.0,,2.36,904231976960
4,2024,8,81058000000.0,7610000000.0,,3.96,469856223232
4,2024,6,89986000000.0,9240000000.0,,3.96,469856223232
4,2023,3,,,,3.96,469856223232
4,2024,5,80411000000.0,8220000000.0,,3.96,469856223232
4,2023,2,,,,3.96,469856223232
4,2024,7,87792000000.0,8610000000.0,,3.96,469856223232
4,2023,4,81688000000.0,7630000000.0,,3.96,469856223232
5,2024,8,14059000000.0,3151000000.0,,2.0,388357816320
5,2024,6,14287000000.0,3144000000.0,,2.0,388357816320
5,2023,1,,,,2.0,388357816320
5,2023,3,,,,2.0,388357816320
5,2024,5,13280000000.0,2401000000.0,,2.0,388357816320
5,2024,7,13307000000.0,2929000000.0,,2.0,388357816320
5,2023,4,,,,2.0,388357816320
6,2024,8,48334000000.0,3239000000.0,,6.84,242916229120
6,2024,6,49574000000.0,4434000000.0,,6.84,242916229120
6,2023,3,,,,6.84,242916229120
6,2024,5,46580000000.0,5501000000.0,,6.84,242916229120
6,2023,2,,,,6.84,242916229120
6,2024,7,48926000000.0,4487000000.0,,6.84,242916229120
6,2023,4,48933000000.0,2259000000.0,,6.84,242916229120
7,2024,8,9444000000.0,1527000000.0,,1.66,257403863040
7,2024,6,9133000000.0,1533000000.0,,1.66,257403863040
7,2023,3,,,,1.66,257403863040
7,2024,5,9287000000.0,1446000000.0,,1.66,257403863040
7,2023,2,,,,1.66,257403863040
7,2024,7,9325000000.0,1429000000.0,,1.66,257403863040
7,2023,4,,,,1.66,257403863040
8,2024,8,13841000000.0,2711000000.0,,1.64,225608810496
8,2024,6,12702000000.0,1886000000.0,,1.64,225608810496
8,2023,1,,,,1.64,225608810496
8,2023,2,,,,1.64,225608810496
8,2024,5,12791000000.0,2634000000.0,,1.64,225608810496
8,2024,7,13642000000.0,2162000000.0,,1.64,225608810496
8,2023,4,,,,1.64,225608810496
9,2024,8,16215000000.0,2791000000.0,,5.64,146658099200
9,2024,6,16689000000.0,2681000000.0,,5.64,146658099200
9,2023,3,,,,5.64,146658099200
9,2024,5,15799000000.0,2856000000.0,,5.64,146658099200
9,2023,2,,,,5.64,146658099200
9,2024,7,16106000000.0,2464000000.0,,5.64,146658099200
9,2023,4,17070000000.0,2676000000.0,,5.64,146658099200
10,2024,8,11669000000.0,3180000000.0,,3.56,164307353600
10,2024,6,9393000000.0,2129000000.0,,3.56,164307353600
10,2023,1,,,,3.56,164307353600
10,2023,3,,,,3.56,164307353600
10,2024,5,9389000000.0,2326000000.0,,3.56,164307353600
10,2023,2,,,,3.56,164307353600
10,2024,7,10244000000.0,2920000000.0,,3.56,164307353600
10,2023,4,9935000000.0,2767000000.0,,3.56,164307353600
11,2024,8,3283000000.0,197000000.0,,4.16,174480228352
11,2024,6,6737000000.0,2389000000.0,,4.16,174480228352
11,2023,1,,,,4.16,174480228352
11,2023,2,,,,4.16,174480228352
11,2024,5,3386000000.0,353000000.0,,4.16,174480228352
11,2024,7,3184000000.0,-20000000.0,,4.16,174480228352
11,2023,4,,,,4.16,174480228352
12,2024,8,17553000000.0,2914000000.0,,6.68,216001150976
12,2024,6,15769000000.0,1834000000.0,,6.68,216001150976
12,2023,3,,,,6.68,216001150976
12,2024,5,14461000000.0,1605000000.0,,6.68,216001150976
12,2023,2,,,,6.68,216001150976
12,2024,7,14967000000.0,-330000000.0,,6.68,216001150976
12,2023,4,17380000000.0,3288000000.0,,6.68,216001150976
13,2024,8,10811000000.0,1899000000.0,,1.44,211603767296
13,2024,6,9093000000.0,1266000000.0,,1.44,211603767296
13,2023,3,,,,1.44,211603767296
13,2024,5,8955000000.0,1539000000.0,,1.44,211603767296
13,2023,2,,,,1.44,211603767296
13,2024,7,9842000000.0,1852000000.0,,1.44,211603767296
13,2023,4,,,,1.44,211603767296
14,2024,8,14236000000.0,2306000000.0,,3.12,116050567168
14,2024,6,13620000000.0,2329000000.0,,3.12,116050567168
14,2023,3,,,,3.12,116050567168
14,2024,5,13848000000.0,2551000000.0,,3.12,116050567168
14,2023,2,,,,3.12,116050567168
14,2024,7,13041000000.0,2059000000.0,,3.12,116050567168
14,2023,4,14729000000.0,3007000000.0,,3.12,116050567168
