trade_id,stock_id,insider_name,relationship,trade_date,trade_type,shares_traded,shares_total,trade_price,stock_id
337,8,"BERKSHIRE HATHAWAY INC","10% Owner",2025-02-07,Buy,763017,264941431,46.00,8
338,8,"BERKSHIRE HATHAWAY INC","10% Owner",2025-01-31,Buy,840000,119059714,23.00,8
339,8,"BERKSHIRE HATHAWAY INC","10% Owner",2025-01-30,Buy,751141,118219714,22.00,8
340,8,"BERKSHIRE HATHAWAY INC","10% Owner",2025-02-03,Buy,716978,119776692,23.00,8
341,8,"BERKSHIRE HATHAWAY INC","10% Owner",2025-01-03,Buy,12544,13289880,204.00,8
342,8,"BERKSHIRE HATHAWAY INC","10% Owner",2025-01-02,Buy,5879,13277336,204.00,8
343,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-31,Buy,1621,13271457,204.00,8
344,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-27,Buy,32105,13243365,203.00,8
345,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-30,Buy,26471,13269836,204.00,8
346,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-26,Buy,17911,13211260,202.00,8
347,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-20,Buy,93837,13143762,198.00,8
348,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-23,Buy,34666,13178428,199.00,8
349,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-24,Buy,14921,13193349,200.00,8
350,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-17,Buy,83012,12898625,195.00,8
351,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-18,Buy,84000,12982625,192.00,8
352,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-19,Buy,67300,13049925,193.00,8
353,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-19,Buy,2069377,117468573,20.00,8
354,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-18,Buy,1454467,115399196,22.00,8
355,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-17,Buy,1440000,113944729,22.00,8
356,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-19,Buy,3614015,264178414,45.00,8
357,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-18,Buy,2805513,260564399,46.00,8
358,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-12-17,Buy,2477362,257758886,46.00,8
359,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-10-30,Buy,925205,111825522,27.00,8
360,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-10-31,Buy,679207,112504729,26.00,8
361,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-10-29,Buy,623527,110900317,27.00,8
362,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-10-17,Buy,1040000,110101221,27.00,8
363,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-10-16,Buy,342133,109061221,26.00,8
364,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-10-18,Buy,175569,110276790,27.00,8
366,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-10-10,Buy,1435000,107459829,24.00,8
367,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-10-11,Buy,1259259,108719088,24.00,8
368,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-10-09,Buy,869800,106024829,23.00,8
416,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-06-13,Buy,1552497,253886410,59.00,8
417,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-06-14,Buy,1060653,254947063,59.00,8
418,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-06-17,Buy,334461,255281524,59.00,8
419,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-06-12,Buy,765899,252333913,60.00,8
420,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-06-10,Buy,584550,251168155,60.00,8
421,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-06-11,Buy,399859,251568014,60.00,8
422,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-06-07,Buy,1386844,250583605,59.00,8
423,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-06-06,Buy,654293,249196761,59.00,8
424,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-06-05,Buy,524340,248542468,59.00,8
425,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-04-29,Buy,311637,70002897,25.00,8
426,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-04-26,Buy,219303,35182219,24.00,8
427,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-04-25,Buy,157309,34962916,24.00,8
428,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-04-24,Buy,123388,34805607,25.00,8
429,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-04-26,Buy,277248,69691260,24.00,8
430,8,"BERKSHIRE HATHAWAY INC","10% Owner",2024-04-25,Buy,227469,69414012,24.00,8
484,10,"Moritz Robert Edward Jr.",Director,2024-11-27,Buy,5446,7805,91.00,10
620,13,"JPMORGAN CHASE & CO","10% Owner",2025-04-09,Buy,14,52036586,3.00,13
